"region";"kjønn";"alder";"år";"statistikkvariabel";"13600: Framskrevet folkemengde 1. januar, etter region, kjønn, alder, år og statistikkvariabel"
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2022";"Hovedalternativet (MMMM)";143787
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2023";"Hovedalternativet (MMMM)";143338
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2024";"Hovedalternativet (MMMM)";143226
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2025";"Hovedalternativet (MMMM)";142718
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2026";"Hovedalternativet (MMMM)";143311
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2027";"Hovedalternativet (MMMM)";142443
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2028";"Hovedalternativet (MMMM)";142795
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2029";"Hovedalternativet (MMMM)";143620
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2030";"Hovedalternativet (MMMM)";144814
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2031";"Hovedalternativet (MMMM)";146045
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2032";"Hovedalternativet (MMMM)";147225
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2033";"Hovedalternativet (MMMM)";148404
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2034";"Hovedalternativet (MMMM)";149588
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2035";"Hovedalternativet (MMMM)";150824
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2036";"Hovedalternativet (MMMM)";152148
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2037";"Hovedalternativet (MMMM)";153519
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2038";"Hovedalternativet (MMMM)";154590
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2039";"Hovedalternativet (MMMM)";155341
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2040";"Hovedalternativet (MMMM)";155738
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2041";"Hovedalternativet (MMMM)";155742
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2042";"Hovedalternativet (MMMM)";155355
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2043";"Hovedalternativet (MMMM)";154898
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2044";"Hovedalternativet (MMMM)";154310
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2045";"Hovedalternativet (MMMM)";153630
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2046";"Hovedalternativet (MMMM)";152813
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2047";"Hovedalternativet (MMMM)";151946
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2048";"Hovedalternativet (MMMM)";151005
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2049";"Hovedalternativet (MMMM)";150008
"0 Hele landet";"1 Menn";"F00-04 0-4 år";"2050";"Hovedalternativet (MMMM)";149027
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2022";"Hovedalternativet (MMMM)";157929
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2023";"Hovedalternativet (MMMM)";156521
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2024";"Hovedalternativet (MMMM)";155170
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2025";"Hovedalternativet (MMMM)";152907
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2026";"Hovedalternativet (MMMM)";149754
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2027";"Hovedalternativet (MMMM)";148220
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2028";"Hovedalternativet (MMMM)";147013
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2029";"Hovedalternativet (MMMM)";146406
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2030";"Hovedalternativet (MMMM)";145938
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2031";"Hovedalternativet (MMMM)";146518
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2032";"Hovedalternativet (MMMM)";145692
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2033";"Hovedalternativet (MMMM)";146033
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2034";"Hovedalternativet (MMMM)";146818
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2035";"Hovedalternativet (MMMM)";147925
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2036";"Hovedalternativet (MMMM)";149141
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2037";"Hovedalternativet (MMMM)";150288
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2038";"Hovedalternativet (MMMM)";151464
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2039";"Hovedalternativet (MMMM)";152563
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2040";"Hovedalternativet (MMMM)";153763
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2041";"Hovedalternativet (MMMM)";154991
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2042";"Hovedalternativet (MMMM)";156304
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2043";"Hovedalternativet (MMMM)";157326
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2044";"Hovedalternativet (MMMM)";158031
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2045";"Hovedalternativet (MMMM)";158422
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2046";"Hovedalternativet (MMMM)";158427
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2047";"Hovedalternativet (MMMM)";158025
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2048";"Hovedalternativet (MMMM)";157562
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2049";"Hovedalternativet (MMMM)";156973
"0 Hele landet";"1 Menn";"F05-09 5-9 år";"2050";"Hovedalternativet (MMMM)";156314
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2022";"Hovedalternativet (MMMM)";168627
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2023";"Hovedalternativet (MMMM)";169169
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2024";"Hovedalternativet (MMMM)";167163
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2025";"Hovedalternativet (MMMM)";164636
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2026";"Hovedalternativet (MMMM)";162647
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2027";"Hovedalternativet (MMMM)";161524
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2028";"Hovedalternativet (MMMM)";159472
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2029";"Hovedalternativet (MMMM)";157761
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2030";"Hovedalternativet (MMMM)";155600
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2031";"Hovedalternativet (MMMM)";152531
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2032";"Hovedalternativet (MMMM)";151016
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2033";"Hovedalternativet (MMMM)";149844
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2034";"Hovedalternativet (MMMM)";149200
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2035";"Hovedalternativet (MMMM)";148724
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2036";"Hovedalternativet (MMMM)";149309
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2037";"Hovedalternativet (MMMM)";148481
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2038";"Hovedalternativet (MMMM)";148776
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2039";"Hovedalternativet (MMMM)";149517
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2040";"Hovedalternativet (MMMM)";150600
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2041";"Hovedalternativet (MMMM)";151776
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2042";"Hovedalternativet (MMMM)";152879
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2043";"Hovedalternativet (MMMM)";153986
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2044";"Hovedalternativet (MMMM)";155082
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2045";"Hovedalternativet (MMMM)";156237
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2046";"Hovedalternativet (MMMM)";157431
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2047";"Hovedalternativet (MMMM)";158726
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2048";"Hovedalternativet (MMMM)";159732
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2049";"Hovedalternativet (MMMM)";160417
"0 Hele landet";"1 Menn";"F10-14 10-14 år";"2050";"Hovedalternativet (MMMM)";160771
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2022";"Hovedalternativet (MMMM)";163245
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2023";"Hovedalternativet (MMMM)";166047
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2024";"Hovedalternativet (MMMM)";168656
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2025";"Hovedalternativet (MMMM)";170887
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2026";"Hovedalternativet (MMMM)";172627
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2027";"Hovedalternativet (MMMM)";172645
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2028";"Hovedalternativet (MMMM)";172486
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2029";"Hovedalternativet (MMMM)";170213
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2030";"Hovedalternativet (MMMM)";167712
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2031";"Hovedalternativet (MMMM)";165754
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2032";"Hovedalternativet (MMMM)";164676
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2033";"Hovedalternativet (MMMM)";162649
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2034";"Hovedalternativet (MMMM)";160975
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2035";"Hovedalternativet (MMMM)";158796
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2036";"Hovedalternativet (MMMM)";155817
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2037";"Hovedalternativet (MMMM)";154334
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2038";"Hovedalternativet (MMMM)";153134
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2039";"Hovedalternativet (MMMM)";152514
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2040";"Hovedalternativet (MMMM)";152034
"0 Hele landet";"1 Menn";"F15-19 15-19 år";"2041";"Hovedalternativet (MMMM)";152574
